English,Thai,Classifier,Type,,,,,
heart disease,โรคหัวใจ,,N,,,,,
shed or hall (large),โรง,"แห่ง, โรง, ที่",N,,,,,
factory,โรงงาน ,"แห่ง, โรง",N,,,,,
hospital,โรงพยาบาล,"หลัง, โรง, แห่ง",N,,,,,
police station (informal),โรงพัก,โรง,N,,,,,
garage,โรงรถ,โรง,N,,,,,
school,โรงเรียน,"แห่ง, โรง",N,,,,,
pre-school,โรงเรียนอนุบาล,โรง,N,,,,,
hotel,โรงแรม,"แห่ง, โรงแรม",N,,,,,
theater,โรงละคร,โรง,N,,,,,
"movie house, cinema",โรงหนัง,"ดรง, แห่ง",N,,,,,
cafeteria,โรงอาหาร,,N,,,,,
what (short form of อะไร),ไร,,Suffix,,,,,
"rai, a unit of land measure; farm",ไร่,"ไร่, แห่ง, ที่",N,,,,,
season (formal),ฤดู,ฤดู,N,,,,,
spring,ฤดูใบไม้ผลิ,,N,,,,,
autumn,ฤดูใบไม้ร่วง,,N,,,,,
rainy season,ฤดูฝน,,N,,,,,
"hot season, summer",ฤดูร้อน,,N,,,,,
"cold season, winter",ฤดูหนาว,ตัวา,N,,,,,
"go down, to get off (go down)",ลง,,V,,,,,
to register,ลงทะเบียน,,V,,,,,
to invest (finance),ลงทุน,,V,,,,,
down ,ลงมา,,Adv,,,,,
"reduce (the price), to lower, discount",ลด,,V,,,,,
"to become lower, subside, diminish",ลดลง,,V,,,,,
to overflow,ล้น,,V,,,,,
to erase,ลบ,,V,,,,,
"wind, air (in motion or under pressure)",ลม,,N,,,,,
"to die, perish; fall down",ล้ม,,V,,,,,
"to scald, burn",ลวก,,V,,,,,
advance (in),ล่วงหน้า,,Adv,,,,,
wire,ลวด,เส้น,N,,,,,
"design, n. (pattern)",ลวดลาย,ลาย,N,,,,,
wheel,ล้อ,ล้อ,N,,,,,
to try out,ลอง,,V,,,,,
to try on,ลองดู,,V,,,,,
to try on,ลองใส่,,V,,,,,
"to float, to set afloat or adrift; fly (plane)",ลอย,,V,,,,,
"per, a, the, each",ละ,,Adv,,,,,
particle: to emphasize the finality of the information,ล่ะ,,Particle,,,,,
play,ละคร,เรื่อง,N,,,,,
sapodilla,ละมุด,ลูก,N,,,,,
shame,ละอาย,,Adj,,,,,
to burgle,ลักทรัพย์,,V,,,,,
"quality, character, characteristic",ลักษณะ,"ลักษณะ, แบบ",N,,,,,
sect,ลัทธิ,,N,,,,,
to say goodbye (said by person leaving) ,ลา,,V,,,,,
"goodbye, farewell",ลาก่อน,,V,,,,,
lower,ล่าง,,"Adj, Adv",,,,,
"to wash (e.g. dishes, hands)",ล้าง,,V,,,,,
to rinse,ล้างน้ำ,,V,,,,,
"million (1,000,000,000)",ล้าน,,N,,,,,
interpreter,ล่าม,คน,N,,,,,
"design, pattern, mark",ลาย,ลาย,N,,,,,
signature,ลายเซ็น,ลาย,N,,,,,
"Laos, Lao, Laotian ",ลาว ,,N,,,,,
to quit,ลาออก,,V,,,,,
"to arrange, put in order, organize",ลำดับ,,N,,,,,
"inconvenient, difficult",ลำบาก,,Adj,,,,,
lamyai ,ลำไย,ลูก,N,,,,,
monkey,ลิง,ตัว,N,,,,,
liter (loanword),ลิตร,,N,,,,,
tongue,ลิ้น,ลิ้น,N,,,,,
"litchi, lichee nuts",ลิ้นจี่,ลูก,N,,,,,
drawer,ลิ้นชัก,"ลิ้น, อัน",N,,,,,
to be deep,ลึก,,Adj,,,,,
to forget,ลืม,,V,,,,,
to get up,ลุก,,V,,,,,
"rise, get up ",ลุกขึ้น,,V,,,,,
uncle (older brother of father or mother),ลุง,คน,N,,,,,
"child (son or daughter) 'ball' of something, classifier for 'ball' like things",ลูก,คน,N,,,,,
key,ลูกกุญแจ,ดอก,N,,,,,
raisin,ลูกเกด,เม็ด,N,,,,,
son-in-law,ลูกเขย,คน,N,,,,,
child of two ethnic groups,ลูกครึ่ง,คน,N,,,,,
customer,ลูกค้า,คน,N,,,,,
employee,ลูกจ้าง,คน,N,,,,,
son,ลูกชาย,คน,N,,,,,
meatball,ลูกชิ้น,ลูก,N,,,,,
ball,ลูกบอล,ลูก,N,,,,,
bullet,ลูกปืน,ลูก,N,,,,,
cousin,ลูกพี่ลูกน้อง,คน,N,,,,,
daughter-in-law,ลูกสะใภ้,คน,N,,,,,
daughter,ลูกสาว,คน,N,,,,,
debtor,ลูกหนี้,คน,N,,,,,
cousin,ลูพี่ลูกน้อง,คน,N,,,,,
"small, little (in size)",เล็ก,,Adj,,,,,
math,เลข,ตัว,N,,,,,
number used as a designation,เลขที่,เลข,N,,,,,
secretary,เลขา,คน,N,,,,,
secretary,เลขานุการ,คน,N,,,,,
"to play (games, music, etc.)",เล่น,,V,,,,,
nail,เล็บ,เล็บ,N,,,,,
toenail,เล็บเท้า,เล็บ,N,,,,,
fingernail,เล็บมือ,เล็บ,N,,,,,
classifier for book ,เล่ม,เล่ม,"Class, N",,,,,
"at all (after negative); so, then, consequently, intensifier",เลย,,Adv,,,,,
bad,เลว,,Adv,,,,,
"to tell, relate",เล่า,,V,,,,,
"to end, quit, be over, discontinue, give up, break up",เลิก,,V,,,,,
to turn ,เลี้ยว,,V,,,,,
to turn right,เลี้ยวขวา,,V,,,,,
to turn left,เลี้ยวซ้าย,,V,,,,,
"to choose, pick out, select, elect",เลือก,,V,,,,,
elect (as in a political election),เลือกตั้ง,,V,,,,,
blood,เลือด,หยด,N,,,,,
"to exchange, change, swap",แลก,,V,,,,,
already (indicates completed action),แล้ว,,Adv,,,,,
"and, and then",แล้วก็,,Conj,,,,,
depending on,แล้วแต่,,"Conj, Prep",,,,,
then turn,แล้วเลี้ยว,,V,,,,,
and,และ,,Conj,,,,,
kilogram (informal),โล,,N,,,,,
world,โลก,ใบ,N,,,,,
metal,โลหะ,ชิ้น,N,,,,,
to chase,ไล่,,V,,,,,
to fire,ไล่ออก,,V,,,,,
circle,วงกลม,วง,N,,,,,
circuit (electrical),วงจร,วง,N,,,,,
"roundabout, traffic circle",วงเวียน,"แห่ง, ที่",N,,,,,
literary work,วรรณกรรม,ฉบับ,N,,,,,
literature,วรรณคดี,เรือง,N,,,,,
"culture, civilization, way of life",วัฒนธรรม,"แบบ, อย่าง",N,,,,,
"temple, temple compound",วัด,"วัด, แห่ง",N,,,,,
"object, stuff, material",วัตถุ,ชิ้น,N,,,,,
"objective, object, aim",วัตถุประสงค์,อย่าง,N,,,,,
day; classifier for day,วัน,วัน,N,,,,,
birthday,วันเกิด,วัน,N,,,,,
Monday,วันจันทร์,วัน,N,,,,,
date,วันที่,ที่,N,,,,,
weekday,วันธรรมดา,วัน,N,,,,,
today,วันนี้,วัน,N,,,,,
Thursday,วันพฤหัส,วัน,N,,,,,
Thursday (formal),วันพฤหัสบดี,วัน,N,,,,,
Wednesday,วันพุธ,วัน,N,,,,,
every other day,วันเว้นวัน,วัน,N,,,,,
Friday,วันศุกร์,วัน,N,,,,,
Saturday,วันเสาร์,วัน,N,,,,,
"vacation, holiday, day off",วันหยุด,วัน,N,,,,,
"some day (in the future), next time",วันหลัง,,N,,,,,
Tuesday,วันอังคาร,วัน,N,,,,,
Sunday,วันอาทิตย์,วัน,N,,,,,
teenager,วัยรุ่น,คน,N,,,,,
"cattle, cow, bull",วัว,ตัว,N,,,,,
wa (2 meters),วา,,N,,,,,
"to think, say, criticize, have an opinion; that (as in “said that”)",ว่า,,V,,,,,
"to put down, set down, place",วาง,,V,,,,,
"unoccupied, free, not busy",ว่าง,,Adj,,,,,
speech,วาจา,"วาจา, คำ",N,,,,,
yesterday,วาน,,Prefix,,,,,
to swim,ว่ายน้ำ,,V,,,,,
"to analyze, contemplate, consider",วิเคราะห์,,V,,,,,
to run,วิ่ง,,V,,,,,
"to do research, research",วิจัย,ชิ้น,V,,,,,
"subject, knowledge, branch of knowledge",วิชา,วิชา,N,,,,,
"vocation, profession, occupation",วิชาชีพ,วิชา,N,,,,,
"soul, life after death",วิญญาณ,ดวง,N,,,,,
to worry,วิตก,,V,,,,,
knowledge (used mainly in compounds),วิทยา,,N,,,,,
science,วิทยาศาสตร์,,N,,,,,
"radio, wireless",วิทยุ,เครื่อง,N,,,,,
"means, way, method",วิธี,วิธี,N,,,,,
procedure,วิธีการ,วิธี,N,,,,,
second,วินาที,,N,,,,,
evolution,วิวัฒนาการ,"อย่าง, ชนิด, แบบ",N,,,,,
engineer,วิศวกร,คน,N,,,,,
whiskey (loanword),วิสกี้,"แก้ง, ขวด",N,,,,,
visa (loanword),วีซ่า,ใบ,N,,,,,
stage,เวที,แห่ง,N,,,,,
"to exclude, omit, skip over",เว้น,,V,,,,,
except,เว้นแต่,,"Conj, Prep",,,,,
to microwave,เวฟ,,N,,,,,
time,เวลา,,N,,,,,
auspicious,เวลาดี - มงคล,,N,,,,,
at present,เวลานี้,เวลา,N,,,,,
"Vietnam, Vietnamese",เวียดนาม ,,N,,,,,
dizzy,เวียนหัว,,Adj,,,,,
"lens, magnifying glass",แว่น,"เลนส์, อัน",N,,,,,
eyeglasses,แว่นตา,คู่,N,,,,,
"to stop in, over ",แวะ,,V,,,,,
"fast, quick",ไว,,Adj,,,,,
for future use or reference,ไว้,,V,,,,,
"to trust, rely on",ไว้ใจ,,V,,,,,
wine (loanword),ไวน์,"แก้ว, ขวด",N,,,,,
flammable,ไวไฟ,,Adj,,,,,
corpse,ศพ,"ศพ, ร่าง",N,,,,,
faith,ศรัทธา,,N,,,,,
elbow,ศอก,"ศอก, ร้าง",N,,,,,
enemy,ศัตรู,คน,N,,,,,
"court, law court, court of justice",ศาล,แห่ง,N,,,,,
pavilion,ศาลา,หลัง,N,,,,,
suffix: field of knowledge -ology,ศาสตร์,,N,,,,,
religion,ศาสนา,ศาสนา,N,,,,,
Christianity,ศาสนาคริสต์,,N,,,,,
Buddhism,ศาสนาพุทธ,,N,,,,,
Judaism,ศาสนายิว,,N,,,,,
Islam,ศาสนาอิสลาม,,N,,,,,
art,ศิลปะ,,N,,,,,
precept,ศีล,,N,,,,,
combat,ศึก,,N,,,,,
to educate,ศึกษา,,V,,,,,
zero (0),ศูนย์,"แห่ง, ที่",N,,,,,
shopping center,ศูนย์การค้า,,N,,,,,
"economy, economic affairs",เศรษฐกิจ,,N,,,,,
"to be sad, upset, depressed",เศร้า,,Adj,,,,,
"scraps, remains, fragments",เศษ,,N,,,,,
change (in coin),เศษสตางค์,เหรียญ,N,,,,,
dirty,สกปรก,,Adj,,,,,
"to send or ship something, see someone off, take something somewhere ",ส่ง (ไป),,V,,,,,
war,สงคราม,ที่,N,,,,,
to post a letter,ส่งจดหมาย,,V,,,,,
peace,สงบ,,N,,,,,
to send an object (general use),ส่งไป,,V,,,,,
"to be suspect, be suspicious, doubt",สงสัย,,Adj,,,,,
to feel sorry for,สงสาร,,V,,,,,
"to enhance, promote, encourage",ส่งเสริม,,V,,,,,
"to export, send abroad",ส่งออก,,V,,,,,
"fresh (of fruit, etc.)",สด,,Adj,,,,,
"bright, clear (weather)",สดใส,,Adj,,,,,
satang,สตางค์,เหรียญ,N,,,,,
"consciousness, sense, mind",สติ,,N,,,,,
circumstance,สถานการณ์,"สถานการณ์, อย่าง",N,,,,,
"place, location",สถานที่,"แห่ง, ที่",N,,,,,
embassy,สถานทูต,แห่ง,N,,,,,
station,สถานี,แห่ง,N,,,,,
police station,สถานีตำรวจ,"สถานี, แห่ง, ที่",N,,,,,
"railway station, train station",สถานีรถไฟ,สถานี,N,,,,,
"institute, institution",สถาบัน,"สถาบัน, แห่ง",N,,,,,
establish,สถาปนา,,V,,,,,
statistic,สถิติ,,N,,,,,
interesting,สนใจ,,V,,,,,
conversation,สนทนา,,V,,,,,
"field (as in airfield, sports field, etc.)",สนาม,แห่ง,N,,,,,
sports field,สนามกีฬา,"สนาม, แห่ง, ที่",N,,,,,
airport,สนามบิน,"แห่ง, ที่",N,,,,,
race track,สนามม้า,"แห่ง, ที่",N,,,,,
"to amusing, to be fun, to have a good time",สนุก,,Adj,,,,,
"to be well, comfortable",สบาย,,Adj,,,,,
to have a relaxed view of life,สบายๆ ,,Adj,,,,,
to be contented,สบายใจ,,Adj,,,,,
"to feel well, be in good health",สบายดี,,Adj,,,,,
soap,สบู่,ก้อน,N,,,,,
soap (Lux) ,สบูลักส์,ก้อน,N,,,,,
soap (toilet),สบู่หอม,ก้อน,N,,,,,
liquid soap,สบู่เหลว,ขวด,N,,,,,
sports club,สปอร์ตคลับ,"แห่ง, ที่",N,,,,,
Spain,สเปน,,N,,,,,
"council, assembly, chamber",สภา,"แห่ง, ที่",N,,,,,
"state, condition, plight",สภาพ,,N,,,,,
orange,ส้ม,"ใบ, ลูก",N,,,,,
green orange (fruit),ส้มเขียวหวาน," ใบ, ลูก, ผล",N,,,,,
papaya salad,ส้มตำ,,N,,,,,
"perfect, complete, absolute, abundant ",สมบูรณ์,,Adj,,,,,
brain,สมอง,สมอง,N,,,,,
pomelo,ส้มโอ,"ลูก, ใบ, ผล",N,,,,,
to apply (for),สมัคร,,V,,,,,
"time, period, era, age, reign",สมัย,,N,,,,,
old-fashioned times,สมัยก่อน,,N,,,,,
nowadays,สมัยนี้,,N,,,,,
modern,สมัยใหม่,,N,,,,,
"association, society, organization",สมาคม,แห่ง,N,,,,,
member,สมาชิก,คน,N,,,,,
notebook,สมุด,,N,,,,,
"club, association",สโมสร,แห่ง,N,,,,,
necklace,สร้อยคอ,เส้น,N,,,,,
"to wash, shampoo, rinse, cleanse; pool, pond, reservoir",สระ (ผม),,V,,,,,
swimming pool,สระว่ายน้ำ,สระ,N,,,,,
to build,สร้าง,,V,,,,,
"to sum up, conclude",สรุป,,V,,,,,
to be unconscious,สลบ ,จาน,V,,,,,
salad,สลัด,,N,,,,,
to chant a prayer,สวดมนต์,,V,,,,,
part,ส่วน,,N,,,,,
"park, garden, orchard",สวน ,"สวน, แห่ง",N,,,,,
"private, personal",ส่วนตัว,,"Adj, Adv",,,,,
"usually, mostly, most of the time)",ส่วนมาก,,Adv,,,,,
zoo,สวนสัตว์,แห่ง,N,,,,,
"majority, larger part",ส่วนใหญ่,,N,,,,,
to wear (polite),สวม,,V,,,,,
toilet,ส้วม,"ส้วม, ที่",N,,,,,
"to be pretty, beautiful",สวย,,Adj,,,,,
"welfare, fringe benefit",สวัสดิการ,,N,,,,,
hello (used for greeting or leavetaking),สวัสดี,,V,,,,,
"to be light, bright",สว่าง,,Adj,,,,,
Switzerland,สวิตเซอร์แลนด์,,N,,,,,
Switzerland ,สวิส ,,N,,,,,
Sweden,สวีเดน,,N,,,,,
United Nations ,สหประชาชาติ ,,N,,,,,
United States,สหรัฐ,,N,,,,,
United States of America,สหรัฐอเมริกา,,N,,,,,
two (2),สอง ๒,,N,,,,,
pick-up truck with two benches (two rows),สองแถว,คัน,N,,,,,
two thousand (2000),สองพัน,,N,,,,,
to teach,สอน,,V,,,,,
to teach,สอนหนังสือ,,V,,,,,
"to take a test, be tested",สอบ,,V,,,,,
to investigate,สอบสวน,,V,,,,,
fork,ส้อม,คัน,N,,,,,
"convenient, comfortable",สะดวก,,Adj,,,,,
belly button,สะดือ,สะดือ,N,,,,,
bridge,สะพาน,"สะพาน, แห่ง",N,,,,,
pedestrian overpass (floating bridge),สะพานลอย,แห่ง,N,,,,,
in-law (female),สะใภ้,คน,N,,,,,
clean,สะอาด,,Adj,,,,,
"just, about, around (often implying ""as little as..."")",สัก,,Adv,,,,,
one moment,สักครู่,,Adv,,,,,
"to order, to leave a message",สั่ง,,V,,,,,
to notice,สังเกต,,V,,,,,
"society, community",สังคม,สังคม,N,,,,,
to order,สั่งซื้อ,,V,,,,,
"contract, agreement, promise",สัญญา,,V,,,,,
"proportion, ratio",สัดส่วน,"ใบ, ฉบับ",N,,,,,
animal,สัตว์,ชนิด,N,,,,,
pet,สัตว์เลี้ยง,"ชนิด, ตัว",N,,,,,
"to tremble, vibrate",สั่น,,V,,,,,
to be short (in length),สั้น,,Adj,,,,,
pineapple,สับปะรด,ลูก,N,,,,,
confused,สับสน,,Adj,,,,,
week (elegant usage),สัปดาห์,สัปดาห์,N,,,,,
to touch,สัมผัส,,V,,,,,
to interview,สัมภาษณ์,,V,,,,,
"branch, branch office, chain store",สาขา,"สาขา, แห่ง",N,,,,,
to throw (liquid),สาด,,V,,,,,
public (not private),สาธารณะ,"แห่ง, ที่",N,,,,,
three (3),สาม ๓,,N,,,,,
intersection (three way),สามแยก,แห่ง,N,,,,,
"samlor, tricycle taxi",สามล้อ,คัน,N,,,,,
three days ago,สามวันก่อน,,N,,,,,
thirty (30),สามสิบ,,N,,,,,
thirty one (31),สามสิบเอ็ด,,N,,,,,
triangle,สามเหลี่ยม,แห่ง,N,,,,,
"can, be able to",สามารถ,,Helping V,,,,,
"husband (formal, polite)",สามี,คน,N,,,,,
"late, the time (9 a.m. - 11:59 a.m); line; classifier for rivers, canals, roads…",สาย,,N,,,,,
"moderation, middle way",สายกลาง,,N,,,,,
eyesight,สายตา,ชนิด,N,,,,,
to confess,สารภาพ,,V,,,,,
"young woman, unmarried woman",สาว,คน,N,,,,,
to be important,สำคัญ,,Adj,,,,,
office (building),สำนักงาน,แห่ง,N,,,,,
"to survey, explore",สำรวจ,,V,,,,,
"to complete, be successful",สำเร็จ,,V,,,,,
ready-made,สำเร็จรูป,,N,,,,,
for (to give) (formal),สำหรับ,,Prep,,,,,
particle: to show emphasis,"สิ, ซิ",,Particle,,,,,
thing,สิ่ง,,N,,,,,
thing (formal),สิ่งของ,"สิ่ง, ชิ้น",N,,,,,
Singapore,สิงคโปร์,,N,,,,,
lion,สิงโต,ตัว,N,,,,,
August,สิงหาคม,เดือบ,N,,,,,
"right, authority, privilege",สิทธิ,,N,,,,,
"to end, finish, stop",สิ้น,,V,,,,,
"goods, merchandise, commodity",สินค้า,ชนิด,N,,,,,
end of the month,สิ้นเดือน,,N,,,,,
end of the year,สิ้นปี,,N,,,,,
ten (ten),สิบ,,N,,,,,
nineteen (19),สิบเก้า,,N,,,,,
seventeen (17),สิบเจ็ด,,N,,,,,
eighteen (18),สิบแปด,,N,,,,,
"ten million (10,000,000)",สิบล้าน,,N,,,,,
twelve (12),สิบสอง,,N,,,,,
thirteen (13),สิบสาม,,N,,,,,
sixteen (16),สิบหก,,N,,,,,
fifteen (15),สิบห้า,,N,,,,,
eleven (11),สิบเอ็ด,,N,,,,,
pimple,สิว,เม็ด,N,,,,,
colour,สี,สี,N,,,,,
four (4),สี่ ๔,,N,,,,,
white,สีขาว,สี,N,,,,,
green,สีเขียว,สี,Adj,,,,,
light green,สีเขียวอ่อน,สี,Adj,,,,,
indigo,สีคราม,สี,Adj,,,,,
dark-colored,สีคล้ำ,สี,Adj,,,,,
silver (colour),สีเงิน,สี,Adj,,,,,
pink,สีชมพู,สี,Adj,,,,,
black,สีดำ,สี,Adj,,,,,
red,สีแดง,สี,Adj,,,,,
dark red,สีแดงเข้ม,สี,Adj,,,,,
"faded, pale, colour runs or fades ",สีตก,สี,Adj,,,,,
gold (colour),สีทอง,สี,Adj,,,,,
grey,สีเทา,สี,Adj,,,,,
navy blue,สีน้ำเงิน,สี,Adj,,,,,
brown,สีน้ำตาล,สี,Adj,,,,,
hair color,สีผม,สี,N,,,,,
to brush teeth,สีฟัน,,V,,,,,
blue,สีฟ้า,สี,Adj,,,,,
purple,สีม่วง,สี,Adj,,,,,
dull color,สีไม่สด - สีหม่น,สี,Adj,,,,,
"corner, intersection (four way), crossroad",สี่แยก,แห่ง,N,,,,,
orange,สีส้ม,สี,Adj,,,,,
forty (40),สี่สิบ,,N,,,,,
red-orange,สีแสด,สี,Adj,,,,,
yellow,สีเหลือง,สี,Adj,,,,,
light yellow,สีเหลืองอ่อน,สี,Adj,,,,,
light colour,สีอ่อน,สี,Adj,,,,,
"to detect, find out, probe into",สืบ,,V,,,,,
"to communicate, convey (message, news or information)",สื่อ,,V,,,,,
"to communicate, chat, speak",สื่อสาร,,V,,,,,
"ripe, cooked until done",สุก,,Adj,,,,,
happy,สุขใจ,,Adj,,,,,
health,สุขภาพ,,N,,,,,
(in) good health,สุขภาพดี,,Adj,,,,,
(in) bad health,สุขภาพไม่ดี,,Adj,,,,,
"maximum, peak, highest point",สุด,,Adj,,,,,
"youngest, last born",สุดท้อง,คน,Adj,,,,,
"last, final",สุดท้าย,สิ่ง,Adj,,,,,
dog (elegant),สุนัข,ตัว,N,,,,,
polite,สุภาพ,,Adj,,,,,
lady,สุภาพสตรี,คน,N,,,,,
liquor (formal),สุรา,ชนิด,N,,,,,
"to fight, vie, oppose",สู้,,V,,,,,
to be tall,สูง,,Adj,,,,,
"to be highest, tallest, supreme",สูงสุด,,Adj,,,,,
formula,สูตร,สูตร,N,,,,,
"to draw on, pump, smoke",สูบ,,V,,,,,
to smoke (cigarettes),สูบบุหรี่,,V,,,,,
line; classifier for string like things,เส้น,,N,,,,,
route,เส้นทาง,"เส้น, สาย",N,,,,,
rice noodles (very fine),เส้นหมี่,เส้น,N,,,,,
large flat rice noodles,เส้นใหญ่,เส้น,N,,,,,
"always, regularly, consistently",เสมอ,,Adv,,,,,
"to finish, complete, succeed",เสร็จ,,V,,,,,
weekend,เสาร์อาทิตย์,วัน,N,,,,,
this weekend,เสาร์อาทิตย์นี้,วัน,N,,,,,
"break, to be broken (machines or food that’s spoiled, to waste)",เสีย,,"V, Adj",,,,,
sound,เสียง,,N,,,,,
loud,เสียงดัง,,Adj,,,,,
tones,เสียงสูงต่ำ,,Adj,,,,,
"sad, unhappy (general)",เสียใจ,,Adj,,,,,
"regretful, unhappy (because of lost opportunity to do something)",เสียดาย,,Adj,,,,,
"thrill, strong feeling",เสียว,,V,,,,,
losing face,เสียหน้า,,Adj,,,,,
damaged,เสียหาย,,Adj,,,,,
tiger,เสือ,ต้ว,N,,,,,
mat,เสื่อ,ผืน,N,,,,,
"top garments, such as shirts and blouses, woman’s dress",เสื้อ,ตัว,N,,,,,
suit of clothes,เสื้อกางเกง,ตัว,N,,,,,
long-sleeved shirt,เสื้อแขนยาว,ตัว,N,,,,,
underwear,เสื้อชั้นใน,ตัว,N,,,,,
dress shirt,เสื้อเชิ้ต,ตัว,N,,,,,
leopard,เสือดาว,ตัวา,N,,,,,
"clothing, cloth",เสื้อผ้า,"ตัว, ชุด",N,,,,,
"to deteriorate, decline, lessen",เสื่อม,,V,,,,,
t-shirt,เสื้อยืด,ตัว,N,,,,,
coat,เสื้อหนาว,ตัว,N,,,,,
orange,แสด,,Adj,,,,,
"to show, display, indicate",แสดง,,V,,,,,
postage stamp,แสตมป์,ดวง,N,,,,,
"hundred thousand (100,000,000)",แสน,,N,,,,,
"hurts, stings",แสบ,,Adj,,,,,
"single, unmarried state",โสด,คน,N,,,,,
"to be clear, transparent",ใส,,Adj,,,,,
"to wear, to put in or on",ใส่,,V,,,,,
"in a bag, to go",ใส่ถุง,,V,,,,,
innards,ไส้,เส้น,N,,,,,
sausage,ไส้กรอก,"เส้น, อัน, แท่ง",N,,,,,
style (loanword),ไสตล์,"ไสตล์, ชนิด, แบบ",N,,,,,
six (6),หก,,N,,,,,
sixty (60),หกสิบ,,N,,,,,
grass,หญ้า,"ต้น, กอ",N,,,,,
female (people only),หญิง,คน,N,,,,,
"unmarried women, spinster",หญิงโสด,คน,N,,,,,
to shrink ,หด,,V,,,,,
"times, occasions",หน,,Class,,,,,
moustache,หนวด,,N,,,,,
"a little, a little bit",หน่อย,,Adv,,,,,
"heavy (in weight), hard (as of work)",หนัก,,Adj,,,,,
"to be to serious, tense, troubled, heavy hearted ",หนักใจ,,Adj,,,,,
"movie, film",หนัง,เรื่อง,N,,,,,
book,หนังสือ,เล่ม,N,,,,,
newspaper,หนังสือพิมพ์,ฉบับ,N,,,,,
"heavy (of material), heavy texture",หนา,หนา,Adj,,,,,
"next, following, upcoming, season, face",หน้า,,N,,,,,
window,หน้าต่าง,บาน,N,,,,,
duty,หน้าที่,"หน้าที่, อย่าง",N,,,,,
forehead,หน้าผาก,แบบ,N,,,,,
rainy season,หน้าฝน,หน้า,N,,,,,
hot season,หน้าร้อน,หน้า,N,,,,,
"to be cold  (feeling, weather)",หนาว,,Adj,,,,,
cold season,หน้าหนาว,หน้า,N,,,,,
chest,หน้าอก,แบบ,N,,,,,
"to escape, avoid, flee",หนี,,V,,,,,
"debt, liability, indebtedness",หนี้,อย่าง,N,,,,,
"one (1), in front of classifier ",หนึ่ง ๑,,N,,,,,
one person,หนึ่งคน ,คน,N,,,,,
one hundred (100),หนึ่งร้อย,,N,,,,,
young male,หนุ่ม,คน,N,,,,,
"mouse, you (with children)",หนู,ตัว,N,,,,,
"to be all gone, to the last one, used up, finished",หมด,,V,,,,,
unconscious,หมดสติ,,Adj,,,,,
to be expired,หมดอายุ,,Adj,,,,,
hat,หมวก,ใบ,N,,,,,
helmet (hat protect against knocks),หมวกกันน็อค,ใบ,N,,,,,
medical doctor,หมอ,คน,N,,,,,
pot (cooking),หม้อ,ใบ,N,,,,,
doctor (medical),หมอ ,คน,N,,,,,
pillow,หมอน,ใบ,N,,,,,
"masseur, masseuse",หมอนวด,คน,N,,,,,
dentist (informal),หมอฟัน,คน,N,,,,,
flea,หมัด,ตัว,N,,,,,
dog,หมา,ตัว,N,,,,,
means that...,หมายความว่า,,V,,,,,
to mean,หมายถึง,,V,,,,,
bear,หมี,ตัว,N,,,,,
"ten-thousand (10,000)",หมื่น,,N,,,,,
"to evolve, revolve, circulate",หมุน,,V,,,,,
"pig, pork",หมู,ตัว,N,,,,,
group,หมู่,หมู่,N,,,,,
village,หมู่บ้าน,แห่ง,N,,,,,
to divorce,หย่า,,V,,,,,
rough,หยาบ,,Adj,,,,,
to pick up small objects,หยิบ,,V,,,,,
to stop,หยุด,,V,,,,,
to take a break,หยุดพัก,,V,,,,,
particle: used in the negative when making a contradiction,หรอก,,Adv,,,,,
"or, question word",หรือ,,Conj,,,,,
or not (question word),หรือเปล่า,,Conj,,,,,
or not,หรือไม่,,Conj,,,,,
"yet (question word), have you... yet? ",หรือยัง,,Conj,,,,,
loose,หลวม,,Adj,,,,,
handsome,หล่อ,,Adj,,,,,
to fool,หลอก,,V,,,,,
"drinking straw, tube, pipe; classifier for tube, tube of toothpaste",หลอด,หลอด,N,,,,,
electric light bulb,หลอดไฟ (ฟ้า),"หลอด, ดวง",N,,,,,
"foundation, main idea, core",หลัก,ใบ,N,,,,,
curriculum,หลักสูตร,ฉบับ,N,,,,,
"behind, back, classifier for houses and buildings",หลัง,หลัง,Adv,,,,,
roof,หลังคา,หลังคา,N,,,,,
after,หลังจาก,,"Conj, Prep",,,,,
after that,หลังจากนั้น,,Conj,,,,,
"later, after this",หลังจากนี้,,Conj,,,,,
after meals,หลังอาหาร,,Prep,,,,,
"to close the eyes, distinguishes between sleeping and lying down",หลับ,,V,,,,,
yard (36 inches),หลา,,N,,,,,
"nephew, niece, grandchild",หลาน,คน,N,,,,,
"nephew, grandson",หลานชาย,คน,N,,,,,
"niece, granddaughter",หลานสาว,คน,N,,,,,
"many, several, a lot (before classifier)",หลาย,,Adv,,,,,
many years,หลายปี,,Adv,,,,,
many kinds,หลายอย่าง,,Adv,,,,,
"hole, pit, hollow",หลุม,"หลุม, ที่",N,,,,,
to hope ,หวัง,,V,,,,,
common cold,หวัด,,N,,,,,
goodbye,หวัดดี,,V,,,,,
sweet (in flavor),หวาน,,Adj,,,,,
"bunch, classifier for bunch of bananas",หวี,"ด้าม, อัน",N,,,,,
"carton, classifier for packages or things wrapped in paper",ห่อ,,V,,,,,
room,ห้อง,ห้อง,N,,,,,
dining room,ห้องกินข้าว,ห้อง,N,,,,,
"storage space, storage room",ห้องเก็บของ ,ห้อง,N,,,,,
kitchen,ห้องครัว ,ห้อง,N,,,,,
double room,ห้องคู่,ห้อง,N,,,,,
